month,brush_fires
2015-01-01T05:00:00Z,37
2015-02-01T05:00:00Z,7
2015-03-01T05:00:00Z,44
2015-04-01T04:00:00Z,185
2015-05-01T04:00:00Z,320
2015-06-01T04:00:00Z,41
2015-07-01T04:00:00Z,72
2015-08-01T04:00:00Z,113
2015-09-01T04:00:00Z,123
2015-10-01T04:00:00Z,67
2015-11-01T04:00:00Z,132
2015-12-01T05:00:00Z,86
2016-01-01T05:00:00Z,57
2016-02-01T05:00:00Z,34
2016-03-01T05:00:00Z,173
2016-04-01T04:00:00Z,202
2016-05-01T04:00:00Z,87
2016-06-01T04:00:00Z,180
2016-07-01T04:00:00Z,85
2016-08-01T04:00:00Z,123
2016-09-01T04:00:00Z,91
2016-10-01T04:00:00Z,46
2016-11-01T04:00:00Z,130
2016-12-01T05:00:00Z,71
2017-01-01T05:00:00Z,32
2017-02-01T05:00:00Z,61
2017-03-01T05:00:00Z,64
2017-04-01T04:00:00Z,95
2017-05-01T04:00:00Z,84
2017-06-01T04:00:00Z,80
2017-07-01T04:00:00Z,72
2017-08-01T04:00:00Z,54
2017-09-01T04:00:00Z,69
2017-10-01T04:00:00Z,94
2017-11-01T04:00:00Z,71
2017-12-01T05:00:00Z,63
2018-01-01T05:00:00Z,33
2018-02-01T05:00:00Z,15
2018-03-01T05:00:00Z,40
2018-04-01T04:00:00Z,98
2018-05-01T04:00:00Z,91
2018-06-01T04:00:00Z,77
2018-07-01T04:00:00Z,88
2018-08-01T04:00:00Z,38
2018-09-01T04:00:00Z,26
2018-10-01T04:00:00Z,32
2018-11-01T04:00:00Z,46
2018-12-01T05:00:00Z,45
2019-01-01T05:00:00Z,34
2019-02-01T05:00:00Z,28
2019-03-01T05:00:00Z,66
2019-04-01T04:00:00Z,84
2019-05-01T04:00:00Z,54
2019-06-01T04:00:00Z,41
2019-07-01T04:00:00Z,63
2019-08-01T04:00:00Z,34
2019-09-01T04:00:00Z,70
2019-10-01T04:00:00Z,48
2019-11-01T04:00:00Z,71
2019-12-01T05:00:00Z,21
2020-01-01T05:00:00Z,34
2020-02-01T05:00:00Z,50
2020-03-01T05:00:00Z,73
2020-04-01T04:00:00Z,53
2020-05-01T04:00:00Z,103
2020-06-01T04:00:00Z,177
2020-07-01T04:00:00Z,83
2020-08-01T04:00:00Z,56
2020-09-01T04:00:00Z,63
2020-10-01T04:00:00Z,39
2020-11-01T04:00:00Z,77
2020-12-01T05:00:00Z,29
2021-01-01T05:00:00Z,42
2021-02-01T05:00:00Z,7
2021-03-01T05:00:00Z,118
2021-04-01T04:00:00Z,92
2021-05-01T04:00:00Z,136
2021-06-01T04:00:00Z,65
2021-07-01T04:00:00Z,39
2021-08-01T04:00:00Z,43
2021-09-01T04:00:00Z,43
2021-10-01T04:00:00Z,49
2021-11-01T04:00:00Z,68
2021-12-01T05:00:00Z,90
2022-01-01T05:00:00Z,29
2022-02-01T05:00:00Z,30
2022-03-01T05:00:00Z,77
2022-04-01T04:00:00Z,131
2022-05-01T04:00:00Z,62
2022-06-01T04:00:00Z,72
2022-07-01T04:00:00Z,197
2022-08-01T04:00:00Z,134
2022-09-01T04:00:00Z,52
2022-10-01T04:00:00Z,33
2022-11-01T04:00:00Z,107
2022-12-01T05:00:00Z,34
2023-01-01T05:00:00Z,29
2023-02-01T05:00:00Z,58
2023-03-01T05:00:00Z,78
2023-04-01T04:00:00Z,177
2023-05-01T04:00:00Z,161
2023-06-01T04:00:00Z,103
2023-07-01T04:00:00Z,64
2023-08-01T04:00:00Z,44
2023-09-01T04:00:00Z,37
2023-10-01T04:00:00Z,36
2023-11-01T04:00:00Z,92
2023-12-01T05:00:00Z,38
2024-01-01T05:00:00Z,40
2024-02-01T05:00:00Z,31
2024-03-01T05:00:00Z,81
2024-04-01T04:00:00Z,80
2024-05-01T04:00:00Z,40
2024-06-01T04:00:00Z,115
2024-07-01T04:00:00Z,60
2024-08-01T04:00:00Z,39
2024-09-01T04:00:00Z,79
2024-10-01T04:00:00Z,203
2024-11-01T04:00:00Z,378
2024-12-01T05:00:00Z,54
2025-01-01T05:00:00Z,51
