zipcode,fires
10000,1
10001,3
10002,9
10003,1
10007,4
10009,4
10010,1
10011,1
10014,5
10016,1
10017,1
10019,3
10021,2
10022,1
10023,2
10024,1
10025,7
10026,1
10027,3
10028,1
10029,9
10031,15
10032,24
10033,16
10034,8
10035,5
10036,4
10037,3
10040,6
10044,1
10065,1
10069,2
10128,1
10301,17
10302,3
10303,8
10304,8
10305,13
10306,11
10307,8
10308,2
10309,10
10310,5
10312,8
10314,16
10451,9
10452,5
10453,8
10454,2
10455,1
10456,5
10457,8
10458,6
10459,4
10460,6
10461,2
10462,6
10463,18
10465,16
10466,15
10467,47
10468,3
10469,9
10470,11
10471,9
10472,8
10473,6
10474,1
10475,3
11004,1
11101,14
11102,3
11103,2
11104,1
11105,6
11106,4
11201,8
11203,5
11204,4
11205,3
11206,1
11207,11
11208,11
11209,6
11210,6
11211,3
11212,5
11213,3
11214,9
11215,1
11216,1
11217,8
11218,6
11219,2
11220,6
11221,7
11222,6
11223,5
11224,5
11225,4
11226,8
11228,4
11229,27
11230,5
11231,6
11232,3
11233,3
11234,35
11235,9
11236,5
11237,3
11238,7
11239,10
11249,1
11354,6
11355,12
11356,3
11357,7
11358,6
11361,18
11362,2
11363,3
11364,11
11365,1
11366,2
11367,11
11368,10
11369,5
11370,2
11372,2
11373,7
11374,3
11375,9
11377,9
11378,1
11379,6
11385,18
11411,1
11412,4
11413,6
11414,8
11415,1
11417,6
11418,10
11419,3
11420,3
11421,6
11422,3
11423,4
11426,5
11427,3
11428,1
11429,2
11430,1
11432,10
11433,5
11434,3
11435,3
11436,4
11691,9
11692,2
11693,1
11694,1
11697,2
NA,243
